ID	Review	PositiveScore	NegativeScore	NeutralScore	EntityList	Trending Topics length	Trending Topics
125845680811480_1157831110946260	Back home! On both days at #ASEM, we awoke to shocking news - the terror attack in Nice and attempted coup in Turkey. Both resulted in many lives lost. A stark reminder of a troubled world, and why in Singapore we must stay united and look out for one another. Our MFA is watching the situation in Turkey closely. For overseas Singaporeans, wherever you may be, please e-register with MFA (https://eregister.mfa.gov.sg/) and stay safe. LHL	0.0	1.0	0.0	["news","lives","reminder","united","back","coup","mfa","terror attack","look","singapore","lhl","world","turkey","e-register","asem","safe","days","situation","singaporeans"]	0	[]
125845680811480_1158332397562798	Enjoyed this song by Singapore talents ??? the Freshman written for ??? (The Provision Shop), a telemovie directed by Royston Tan ???. I played the OST (official sound track) twice - first to absorb the lyrics, then to enjoy the images! The telemovie aired on Channel 8 last night. It explores tensions between locals and foreigners in our communities, and has attracted interest and discussion. I hope to watch it soon. Here it is with English subtitles: youtu.be/i-Sj7M-7a-Y LHL ???????????????????????????????????????????????????????????????????????????????????? http://bit.ly/29Mdz0N?????? ???????????????????????????????????????? youtu.be/i-Sj7M-7a-Y ??????? ???	0.0	0.0	0.0	["song","telemovie","images","foreigners","night","channel","singapore talents","ost  sound track","discussion","provision shop","freshman","lhl","interest","royston tan","english","m-a-y","tensions","lyrics","youtu","enjoyed","locals","communities"]	0	[]
125845680811480_1158537847542253	A sentimental wefie. My old CO, LTC Chan Cheow Nam (on my left), was in town, so I had tea with him and his family, and our old artillery comrades. We had a good time reminiscing about the old days - it is more than 40 years since I served under LTC Chan in 24 SA, as Survey Platoon Commander. We also naturally caught up with how each other\'s families are doing - quite a few are full time grandfathers! - LHL (Photo by me)	0.5	0.0	0.5	["ltc chan","old artillery comrades","lhl  photo","wefie","families","survey platoon commander","sa","time grandfathers","ltc chan cheow nam","tea","days","time","family"]	0	[]
125845680811480_1158987164163988	Delighted that former President SR Nathan was honoured with the Outstanding Member of the South Asian Diaspora (OMSAD) 2016 Award at the South Asian Diaspora Convention (SADC) last night. Mr Nathan was not only an outstanding Singaporean, but contributed much to the global South Asian community. In fact, the SADC was first mooted by Mr Nathan, as a platform for Singapore to network with prominent members of the South Asian diaspora. After the award presentation, I had an interesting dialogue where we discussed the effects of globalisation, India-China relations, Indias potential, and other issues. You can watch the full dialogue session here: http://bit.ly/29QwjgS LHL	0.0	0.0	1.0	["fact","president sr nathan","india-china relations","issues","platform","network","dialogue session","diaspora","members","dialogue","member","singaporean","mr nathan","potential","night","asian","delighted","community","diaspora  omsad  award","singapore","effects","diaspora convention  sadc","sadc","award presentation","globaliion"]	0	[]
125845680811480_1159321397463898	Heres my speech from the joint press conference held during the HSR Memorandum of Understanding Signing Ceremony. - LHL (PMO Video by Alex Qiu)	0.0	0.0	0.0	["heres speech","hsr memorandum","signing cerey","press conference","alex qiu","pmo lhl video"]	0	[]
125845680811480_1159550824107622	Caught up with PM Najib Razak over lunch before witnessing the signing of the Memorandum of Understanding on our High Speed Rail (HSR) in Putrajaya this afternoon. PM Najib and I agreed to build the HSR between KL and Singapore three years ago (bit.ly/29PWwem). Since then our officials have worked hard and long, through several Ramadans and Rayas, to reach agreement on key issues. The HSR is a massive, long-term investment. Good execution will be crucial. We need to work closely together on many joint decisions and implementation issues. PM Najib and I will give full attention to this, because we want this major project to be done right. With the HSR, people will think of Singapore-KL the same way as they think of London-Paris, Seoul-Busan, Taipei-Kaohsiung, Shanghai-Nanjing, or Tokyo-Osaka. If all goes well, the first trains will start running around 2026, just 10 years from now! - LHL	0.4	0.2	0.4	["pm najib razak","putrajaya","london-paris","lunch","hsr","seoul-busan","project","bit","ramadans","issues","long","years","running","officials","hard","tokyo-osaka","shanghai-nanjing","speed rail  hsr","execution","agreement","taipei-kaohsiung","work","first trains","isions","rayas","investment","ly pwwem","pm najib","people","cht","afternoon","singapore","lhl","attention","memorandum","implementation issues","signing"]	0	[]
125845680811480_1159946060734765	There is an old proverb: measure twice, cut once. Building and Construction Authority (Singapore) (BCA) has put a new spin on that, with Build Twice: First Virtual, Then Real. :) Saw firsthand this morning how BCA is rolling out new technologies to build greener, more environmentally sustainable buildings. One of them is the Skylab, a rotating structure built atop the new Academic Tower at the BCA Academy. It is fitted with over 200 sensors. The structure can be rotated, to position the sun and wind at different angles. Designers and researchers use it to test strategies for lighting, cooling and ventilating a building which use less energy. LHL	0.0	0.0	1.0	["bca","virtual","designers","angles","researchers","strategies","lighting","building","structure","technologies","lhl","sensors","bca academy","construction authority  singapore   bca","skylab","spin","buildings","cooling","proverb","academic tower","wind","energy"]	0	[]
125845680811480_1160302494032455	Happy Racial Harmony Day! Harmony between our different races and religions is a fundamental principle of our nation. We celebrate our diversity, and share each others customs and cultures. Unfortunately, in many countries, we are seeing more cases where people reject diversity and inclusion. Just look at the extremist terrorist attacks in recent weeks - Orlando in the US, Dhaka in Bangladesh, Nice in France, Puchong in Malaysia - each incident chilling, driven by hatred, and heartbreaking. In Singapore, we must always stay united as one people, and never allow any such event to break or divide us. LHL [Young ones attending school in colourful ethnic costumes to celebrate Racial Harmony Day. / ST Photo © Singapore Press Holdings Limited. Reproduced with permission.]	0.66	0.33	0.0	["principle","weeks","hary day","nation","united","malaysia","diversity","hatred","school","religions","france","share","orlando","terrorist attacks","event","cases","others customs","press holdings photo singapore limited","reproduced","permission","countries","people","costumes","hary","singapore","lhl ones","races","cultures","extremist","bangladesh","incident"]	0	[]
125845680811480_1160571570672214	Came across this music video by Liang Wenfu, commissioned for the launch of Lianhe Zaobao\'s new look. For a language to stay alive, it needs to be part of our daily life. Zaobaos makeover aims to make the Chinese language and news more accessible to its readers, and encourage interest in and use of Chinese. If you wish to improve your Chinese, do take a look at the new Zaobao. You will surely find something that interests you. - LHL ????????????????????????????????? ????????????????????????????????????????:) ? ??? #zb #?????	0.0	0.0	0.0	["accessible","zaobaos makeover","alive","part","launch","language","look","life","liang wenfu","chinese","lhl","zaobao","readers","interest","music video","lianhe zaobao"]	0	[]
125845680811480_1161184287277609	Attended Mr Chor Yeok Engs wake today. Mr Chor belonged to the Pioneer Generation who built Singapore. He dedicated his life to the country and to improving the lives of Singaporeans. As a young man, he joined the PAP to fight for an independent Singapore. As MP for Bukit Timah, he saw the poor neighbourhood turn into a beautiful modern estate, and improved the lives of residents. Mr Chors integrity and character shone on many occasions. In 1956, when a 2,000 strong mob threatened to burn down the former Yeo Hiap Seng factory in Bukit Timah, he stopped them. He reminded them that they were against the colonialists and not the local manufacturer. Mr Lee Kuan Yew considered Mr Chor one of his oldest, most steadfast and courageous party comrades. He said that if he had to choose one other to go to battle with him, he would pick Mr Chor. After retiring in 1984, Mr Chor kept a watchful eye over his old constituency. I often met him when I visited Bukit Timah for constituency events, and was glad to see him again last year when we celebrated the 60th Anniversary of Bukit Timah. I would like to express my deepest condolences to Mr Chors family at this time of sorrow. LHL (Speaking to Mr Chor at the 60th Anniversary of Bukit Timah celebrations last year. / MCI Photo by Chwee.)	0.6	0.0	0.4	["country","mob","year","sorrow","life","manufacturer","mr chors family","mr chor yeok engs wake","mr lee kuan yew","speaking","bukit timah","party comrades","old constincy","man","pioneer generation","pap","singaporeans","attended","condolences","mr chor","lives","bukit timah celebrations","chor","estate","battle","eye","singapore","lhl","chwee","constincy events","residents","occasions","character shone","mci photo","mr chors integrity","neighborhood","time","yeo hiap seng factory","anniversary"]	0	[]
