ID	Review	PositiveScore	NegativeScore	NeutralScore	EntityList	Trending Topics length	Trending Topics
756780242685992960	RT @STsportsdesk: Justin Liu is a two-time Asian Games and former world champion in the 420. #OneTeamSG #RoadToRio https://t.co/JSLzcNHWmu	0.0	0.0	1.0	["world champion","justin liu","#oneteamsg #roadtorio","asian games"]	0	[]
757364901698383872	Singapore table tennis looks to local talent as ‘way forward’, ahead of #Rio2016 medal quest https://t.co/nPu9R3lrrs https://t.co/r9pRxv8JG7	1.0	0.0	0.0	["singapore table tennis","talent","medal #rio quest"]	0	[]
757417192245776384	RT @STsportsdesk: Who would've guessed?! #OneTeamSG #RoadToRio https://t.co/C2qg42h5WI	0.0	0.0	0.0	["#oneteamsg #roadtorio"]	0	[]
757564857180762112	#TeamSG shuttler Derek Wong aiming for one final smash at glory at #Rio2016 https://t.co/6nUReVRbK2 https://t.co/qlHBZeUJW1	0.0	0.0	0.0	["#teamsg shuttler derek wong","#rio","smash","glory"]	0	[]
757566232698589184	RT @TODAYonline: #TeamSG shuttler Derek Wong aiming for one final smash at glory at #Rio2016 https://t.co/6nUReVRbK2 https://t.co/qlHBZeUJW1	0.0	0.0	0.0	["#teamsg shuttler derek wong","#rio","smash","glory"]	0	[]
758122631484829696	RT @STsportsdesk: For @joschooling, the blacker the chai tau kway, the better! #OneTeamSG #RoadToRio https://t.co/wpYzrFNPLv	0.0	0.0	0.0	["chai tau kway","#oneteamsg #roadtorio"]	0	[]
761228163527487488	RT @ChannelNewsAsia: #FF @OliviaQuayCNA and @JackBoardCNA for updates on #OneTeamSG at #Rio2016 https://t.co/ndvihxUYzf https://t.co/XjwYeY…	0.0	0.0	0.0	["#rio","#oneteamsg"]	0	[]
761225867213144064	#FF @OliviaQuayCNA and @JackBoardCNA for updates on #OneTeamSG at #Rio2016 https://t.co/ndvihxUYzf https://t.co/XjwYeYfGxY	0.0	0.0	0.0	["#ff","#rio","#oneteamsg"]	1	[{"score":4.99520372770012,"topic":"rio"}]
761250938149404673	RT @ChannelNewsAsia: #FF @OliviaQuayCNA and @JackBoardCNA for updates on #OneTeamSG at #Rio2016 https://t.co/ndvihxUYzf https://t.co/XjwYeY…	0.0	0.0	0.0	["#rio","#oneteamsg"]	1	[{"score":5.994104736906617,"topic":"rio"}]
761350526516752384	Rio mayor asks locals to stay home during the games.  #Rio2016 @Olympics2016  https://t.co/85ulh3PkZ4	0.0	0.0	1.0	["rio mayor","#rio","games","locals","home"]	1	[{"score":6.990808313887699,"topic":"rio"}]
761356387158888448	Ouch. That will be referring to ????'s #IOC member Princess Anne. #AndyMurray #Olympics2016 #Rio2016 https://t.co/GXvzTREKwZ	0.0	0.0	0.0	["#ioc member princess anne","#andymurray #olympics","ouch"]	1	[{"score":6.988711281110792,"topic":"rio"}]
