ID	Review	PositiveScore	NegativeScore	NeutralScore	EntityList	Trending Topics length	Trending Topics
756431540075106308	dlvr -  Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/hqlXcn08MX	0.0	0.0	0.0	["middlesbrough","form","negredo","manager karanka"]	1	[{"score":5.977847376505221,"topic":"mfa"}]
756431541782196224	dlvr -  Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice https://t.co/6G4zrIJhen	0.0	1.0	0.0	["boo junfeng","friday","prison film apprentice"]	1	[{"score":5.976054201621713,"topic":"mfa"}]
756431543992655872	Apple to open first Apple Store in Taiwan https://t.co/OLy1RJl1at	0.0	0.0	0.0	["apple","taiwan","apple store"]	1	[{"score":5.974261564636877,"topic":"mfa"}]
756431546169434113	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/Ylbc6nePVH	0.0	0.0	0.0	["middlesbrough","form","negredo","manager karanka"]	1	[{"score":5.971872218442821,"topic":"mfa"}]
756431548061065216	Five on Friday: Why you should watch Boo Junfeng’s prison film Apprentice https://t.co/4iqAv4vPc9	0.0	1.0	0.0	["boo junfeng","friday","prison film apprentice"]	1	[{"score":5.970080835927483,"topic":"mfa"}]
756431864609574912	Manager Karanka backs Negredo to find form at Middlesbrough https://t.co/UbvgJ6qRQT	0.0	0.0	0.0	["middlesbrough","form","negredo","manager karanka"]	1	[{"score":5.967693161774083,"topic":"mfa"}]
756431987703853056	[CNA] Long queues at Michelin-starred hawker stalls: The owner of one of the stalls - Hong Kong Soya Sauce Ch... https://t.co/UoBrFC0LhX	0.0	0.0	0.0	["owner","[ cna ]","hong kong soya sauce ch","hawker","stalls"]	1	[{"score":5.964709911902838,"topic":"mfa"}]
756431988538482688	[CNA] Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analysts say tha... https://t.co/XNHYzNSYmo	0.0	1.0	0.0	["[ cna ] commuters","benefits","analysts","wait","tha","smrt privatisation"]	1	[{"score":5.961131980542898,"topic":"mfa"}]
756431998277648384	[News] Long queues at Michelin-starred hawker stalls https://t.co/cD3E9q40F9	0.0	0.0	0.0	["[ news ]","hawker"]	1	[{"score":5.95993981375811,"topic":"mfa"}]
756431999007469568	[News] Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts https://t.co/kd7mkAPypJ	0.0	1.0	0.0	["benefits","wait","[ news ] commuters","smrt privatisation"]	1	[{"score":5.957556195405157,"topic":"mfa"}]
756432014278930432	DTN Singapore: Long queues at Michelin-starred hawker stalls: The owner of one of the stalls - Hong Kong Soya... https://t.co/3YbKWqztu0	0.0	0.0	0.0	["hong kong soya","queues","dtn singapore","hawker","stalls"]	1	[{"score":5.954578013003501,"topic":"mfa"}]
756432015004545024	DTN Singapore: Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analyst... https://t.co/aMNxujItDn	0.0	1.0	0.0	["benefits","wait","dtn singapore","commuters","smrt privatisation"]	1	[{"score":5.951601319395259,"topic":"mfa"}]
756432020360671233	DTN Singapore: Long queues at Michelin-starred hawker stalls: The owner of one of the stalls - Hong Kong Soya... https://t.co/Km1em2AVLS	0.0	0.0	0.0	["hong kong soya","queues","dtn singapore","hawker","stalls"]	1	[{"score":5.9486261138361805,"topic":"mfa"}]
756432021442797568	DTN Singapore: Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analyst... https://t.co/3LNQvkY03L	0.0	1.0	0.0	["benefits","wait","dtn singapore","commuters","smrt privatisation"]	1	[{"score":5.945652395582391,"topic":"mfa"}]
756432023028244480	NewsInSG: Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: A... https://t.co/rw3TYDAhQQ #Singapore	0.0	1.0	0.0	["benefits","newsinsg","wait","commuters","smrt privatisation","#singapore"]	3	[{"score":5.942085895873997,"topic":"mfa"},{"score":4.991909551865274,"topic":"smrt privatisation"},{"score":4.990012797944767,"topic":"benefits"}]
756432025247027200	Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analysts say that with... https://t.co/o1GB8KR9tZ	0.0	1.0	0.0	["benefits","analysts","wait","commuters","smrt privatisation"]	3	[{"score":5.98941409623038,"topic":"smrt privatisation"},{"score":5.987118350493177,"topic":"benefits"},{"score":5.939115447075231,"topic":"mfa"}]
756432026908012544	Commuters may need to wait to experience the benefits of SMRT privatisation: Analysts: Analysts say that with... https://t.co/zTXHDcugbh	0.0	1.0	0.0	["benefits","analysts","wait","commuters","smrt privatisation"]	4	[{"score":6.986419988063783,"topic":"smrt privatisation"},{"score":6.983725449965897,"topic":"benefits"},{"score":5.93614648320385,"topic":"mfa"},{"score":4.993705676157044,"topic":"commuters"}]
756432047267119104	Long queues at Michelin-starred hawker stalls https://t.co/AhUzzVcOqL	0.0	0.0	0.0	["queues","hawker"]	5	[{"score":6.985022773930371,"topic":"smrt privatisation"},{"score":6.982328774713158,"topic":"benefits"},{"score":5.934959313268674,"topic":"mfa"},{"score":4.99270698495887,"topic":"commuters"},{"score":4.984929689728849,"topic":"hawker"}]
756432050031300608	ChannelNewsAsia: FIVE ON FRIDAY: Why GenevieveLohCNA thinks you should watch Boo Junfeng’s Apprentice … https://t.co/kg4BtJARnQ	0.0	0.0	0.0	["genevievelohcna","boo junfeng","channelnewsasia","friday","apprentice"]	5	[{"score":6.981530960975837,"topic":"smrt privatisation"},{"score":6.978838308488861,"topic":"benefits"},{"score":5.931992427048625,"topic":"mfa"},{"score":4.9902111306871655,"topic":"commuters"},{"score":4.982437723327108,"topic":"hawker"}]
